identifier,artist,artistFirstName,artistLastName,completed,location,main_image_url
Baltimore Farmer's Market - Holliday and Saratoga Streets019,Alisha Marchewka,Alisha,Marchewka,06/29/05 12:00 AM,"-76.60749999999996, 39.297300000000064",https://data.baltimorecity.gov/views/zqh4-9ud5/files/qmyA-op2ZlM46ce9vKeUeZZFmqZrnGDCtpp1pbbkvhw?filename=A.+Marchewka+Farmers+Market.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
3500 Hillen Rd.,John Ford,John,Ford,06/09/05 12:00 AM,"-76.58903139599886, 39.33167161806898",https://data.baltimorecity.gov/views/zqh4-9ud5/files/QV36z21t7zun27dJvizJDwAnZB4TWLB_LOsnJrNGDwc?filename=Morgenthaler.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
Baltimore Farmer's Market - Holliday and Saratoga Streets020,Brooks Todd,Brooks,Todd,06/29/05 12:00 AM,"-76.60749999999996, 39.297300000000064",https://data.baltimorecity.gov/views/zqh4-9ud5/files/rk-7xMOI6onmQOtokfkYX5Hf-oOeeky02TgxG--kjGQ?filename=M.+Todd+FM+07.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
"2410 Tolley Street, Morrell Park",Chris Peters and Access Art,Chris,Peters and Access Art,07/02/05 12:00 AM,"-76.65196999999989, 39.28365000000008",https://data.baltimorecity.gov/views/zqh4-9ud5/files/RLXPN_F7pb0SaonkUD_ZF-jwRS5EWMUDS3d_-cg1D-I?filename=Morrell+Park+side.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
Baltimore Farmer's Market - Holliday and Saratoga Streets021,Guy Jones,Guy,Jones,06/28/05 12:00 AM,"-76.60749999999996, 39.297300000000064",https://data.baltimorecity.gov/views/zqh4-9ud5/files/rZTN0dXIvmnMx0p5SI3z-pbrtGNGwYyVP64BP2wnaXs?filename=g.+jones+2.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
2000 E. Pratt St.,Mary Carfagno Ferguson,Mary,Carfagno Ferguson,06/16/05 12:00 AM,"-76.58881555871181, 39.289448448793394",https://data.baltimorecity.gov/views/zqh4-9ud5/files/S5LoGjWCmPhQTuvJ3N67ILl8wSSDaqIK3oME7MSUS5Y?filename=ferguson-2000+e+pratt+st.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
2229 1/2 W. Pratt St.,James Voshell,James,Voshell,06/12/05 12:00 AM,"-76.65235266008187, 39.284897879325115",https://data.baltimorecity.gov/views/zqh4-9ud5/files/SPRvi2RI3Pl15prfuZ80nAlGZ_lgCsCxCSwt7-E9UP4?filename=voshell-2229.5+w+pratt+st.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
401E. Lorraine St.,Erik Warren,Erik,Warren,06/18/05 12:00 AM,"-76.60331999999988, 39.32947000000013",https://data.baltimorecity.gov/views/zqh4-9ud5/files/T0M2ttTYz_M2GrN8KbIER-DI1E9M1abOp5OD219MSAY?filename=warren-401+e+lorriane+st.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
1740 Druid Hill Ave.,Tom Miller and MICA,Tom,Miller and MICA,06/22/05 12:00 AM,"-76.63329602628102, 39.30584308938751",https://data.baltimorecity.gov/views/zqh4-9ud5/files/T4DM0VbEQ-pOf2FMMm8L--EzPHzxUgSkKzQmrBbs3jQ?filename=Marbel+Hill+Mural.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
801 McCulloh St.,Kylis Winborne,Kylis,Winborne,06/21/05 12:00 AM,"-76.62299878904554, 39.29868448603429",https://data.baltimorecity.gov/views/zqh4-9ud5/files/Tc3A_S6YIpyohPo9-Nbtz4GHeo6v0-mXcZKR-AkSK1Y?filename=winborne+-+801+mccullough+2.4.04+2.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
1115 Hollins St.,Espi and Jennifer Frazier and Rattigan,Espi and Jennifer,Frazier and Rattigan,06/25/05 12:00 AM,"-76.63570620931955, 39.28738000812598",https://data.baltimorecity.gov/views/zqh4-9ud5/files/teBaFn9CBRqVu2r-eeW-oBeW2be8XJi6SvjGyGDZT-w?filename=frazier+%26+rattigan+-+1115+hollins+st+3.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
416 Monroe Street,Sunny Miller,Sunny,Miller,07/03/05 12:00 AM,"-76.6467109421284, 39.282715815213734",https://data.baltimorecity.gov/views/zqh4-9ud5/files/TN4VcWX9sMrYQH2pgbF_2SvC1_8RH5ygkrwgXzi33EQ?filename=416+s.+monroe+s.+miller+light.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
